# sent_id = 1003
# file = 00001
# text = 자기계발을 원하는 사람에게 가장 적합한 학교
1	자기계발을	자기+계발을	자기+계발+을	PRON	NP+NNG_JKO	NP+NNG+JKO
11	범죄를	범죄+를	범죄+를	NOUN	NNG+JKO	NNG+JKO
12	시도하려	시도하+려	시도하+려	VERB	VV+EC	VV+EC
13	했다	했+다	하+었+다	AUX	VX+EP_EF	VX+EP+EF
14	.	.	.	PUNC	SF	SF

# sent_id = 1008
# file = 00001
# text = 공공기관 5개 중 1개 기관장이 대통령보다 많은 급여를 받고 있으며 평균 연봉은 국무총리보다 높았다 .
1	공공기관	공공기관	공공기관	NOUN	NNG	NNG
2	5개	5+개	5+개	NUM	SN+NNB	SN+NNB
3	중	중	중	NOUN	NNB	NNB
4	1개	1+개	1+개	NUM	SN+NNB	SN+NNB
5	기관장이	기관장+이	기관장+이	NOUN	NNG+JKS	NNG+JKS
6	대통령보다	대통령+보다	대통령+보다	NOUN	NNG+JKB	NNG+JKB
7	많은	많+은	많+은	ADJ	VA+ETM	VA+ETM
8	급여를	급여+를	급여+를	NOUN	NNG+JKO	NNG+JKO
9	받고	받+고	받+고	VERB	VV+EC	VV+EC
10	있으며	있+으며	있+으며	AUX	VX+EC	VX+EC
11	평균	평균	평균	NOUN	NNG	NNG
12	연봉은	연봉+은	연봉+은	NOUN	NNG+JX	NNG+JX
13	국무총리보다	국무총리+보다	국무총리+보다	NOUN	NNG+JKB	NNG+JKB
14	높았다	높+았다	높+았+다	ADJ	VA+EP_EF	VA+EP+EF
15	.	.	.	PUNC	SF	SF

# sent_id = 1009
# file = 00001
# text = 국민의 혈세로 운영되는 만큼 국민이 이해할 수 있는 합리적인 기관장 급여 체계를 구축해야 한다 .
1	국민의	국민+의	국민+의	NOUN	NNG+JKG	NNG+JKG
2	혈세로	혈세+로	혈세+로	NOUN	NNG+JKB	NNG+JKB
3	운영되는	운영되+는	운영되+는	VERB	VV+ETM	VV+ETM
4	만큼	만큼	만큼	NOUN	NNB	NNB
5	국민이	국민+이	국민+이	NOUN	NNG+JKS	NNG+JKS
6	이해할	이해할	이해하+ㄹ	VERB	VV_ETM	VV+ETM
7	수	수	수	NOUN	NNB	NNB
8	있는	있+는	있+는	ADJ	VA+ETM	VA+ETM
9	합리적인	합리적+인	합리적+이+ㄴ	VERB	NNG+VCP_ETM	NNG+VCP+ETM
10	기관장	기관장	기관장	NOUN	NNG	NNG
11	급여	급여	급여	NOUN	NNG	NNG
12	체계를	체계+를	체계+를	NOUN	NNG+JKO	NNG+JKO
13	구축해야	구축해+야	구축하+어야	VERB	VV+EC	VV+EC
14	한다	한+다	하+ㄴ다	AUX	VX+EF	VX+EF
15	.	.	.	PUNC	SF	SF

# sent_id = 1010
# file = 00001
# text = 부평 기지는 대단위 아파트로 둘러싸인 곳으로 지역 주민들은 수 십 년간 다이옥신 등에 노출돼 있었다 .
1	부평	부평	부평	PROPN	NNP	NNP
2	기지는	기지+는	기지+는	NOUN	NNG+JX	NNG+JX
3	대단위	대단위	대단위	NOUN	NNG	NNG
4	아파트로	아파트+로	아파트+로	NOUN	NNG+JKB	NNG+JKB
5	둘러싸인	둘러싸인	둘러싸이+ㄴ	VERB	VV_ETM	VV+ETM
6	곳으로	곳+으로	곳+으로	NOUN	NNG+JKB	NNG+JKB
7	지역	지역	지역	NOUN	NNG	NNG
8	주민들은	주민들+은	주민들+은	NOUN	NNG+JX	NNG+JX
9	수	수	수	DET	MM	MM
10	십	십	십	NOUN	NR	NR
11	년간	년+간	년+간	NOUN	NNB+XSN	NNB+XSN
12	다이옥신	다이옥신	다이옥신	NOUN	NNG	NNG
13	등에	등+에	등+에	NOUN	NNB+JKB	NNB+JKB
14	노출돼	노출돼	노출되+어	VERB	VV_EC	VV+EC
15	있었다	있+었다	있+었+다	AUX	VX+EP_EF	VX+EP+EF
16	.	.	.	PUNC	SF	SF

# sent_id = 1011
# file = 00001
# text = 주한미군은 인천시민에게 사과하고 즉각 오염정화 해 반환하라 .
1	주한미군은	주한미군+은	주한미군+은	NOUN	NNG+JX	NNG+JX
2	인천시민에게	인천시민+에게	인천시민+에게	PROPN	NNP+JKB	NNP+JKB
3	사과하고	사과하+고	사과하+고	VERB	VV+EC	VV+EC
4	즉각	즉각	즉각	ADV	MAG	MAG
5	오염정화	오염정화	오염정화	NOUN	NNG	NNG
6	해	해	하+어	VERB	VV_EC	VV+EC
7	반환하라	반환하+라	반환하+라	VERB	VV+EF	VV+EF
8	.	.	.	PUNC	SF	SF

# sent_id = 1012
# file = 00001
# text = 평소 알고 지내던 지인들과 처음으로 도박을 했다 .
1	평소	평소	평소	NOUN	NNG	NNG
2	알고	알+고	알+고	VERB	VV+EC	VV+EC
3	지내던	지내+던	지내+던	VERB	VV+ETM	VV+ETM
4	지인들과	지인들+과	지인들+과	NOUN	NNG+JC	NNG+JC
5	처음으로	처음+으로	처음+으로	NOUN	NNG+JKB	NNG+JKB
6	도박을	도박+을	도박+을	NOUN	NNG+JKO	NNG+JKO
7	했다	했+다	하+었+다	VERB	VV+EP_EF	VV+EP+EF
8	.	.	.	PUNC	SF	SF

# sent_id = 1013
# file = 00001
# text = 지금은 90세 또는 100세까지 보장하는 보험이 일부 나왔는데 , 앞으로는 소비자는 나이에 관계없이 110세 이상까지 보장하는 보험상품에 가입할 수 있게 될 것
1	지금은	지금+은	지금+은	NOUN	NNG+JX	NNG+JX
2	90세	90+세	90+세	NUM	SN+NNB	SN+NNB
3	또는	또는	또는	ADV	MAJ	MAJ
4	100세까지	100+세까지	100+세+까지	NUM	SN+NNB_JX	SN+NNB+JX
5	보장하는	보장하+는	보장하+는	VERB	VV+ETM	VV+ETM
6	보험이	보험+이	보험+이	NOUN	NNG+JKS	NNG+JKS
7	일부	일부	일부	NOUN	NNG	NNG
8	나왔는데	나왔+는데	나오+았+는데	VERB	VV+EP_EC	VV+EP+EC
9	,	,	,	PUNC	SP	SP
10	앞으로는	앞+으로는	앞+으로+는	NOUN	NNG+JKB_JX	NNG+JKB+JX
11	소비자는	소비자+는	소비자+는	NOUN	NNG+JX	NNG+JX
12	나이에	나이+에	나이+에	NOUN	NNG+JKB	NNG+JKB
13	관계없이	관계없이	관계없이	ADV	MAG	MAG
14	110세	110+세	110+세	NUM	SN+NNB	SN+NNB
15	이상까지	이상+까지	이상+까지	NOUN	NNG+JX	NNG+JX
16	보장하는	보장하+는	보장하+는	VERB	VV+ETM	VV+ETM
17	보험상품에	보험상품+에	보험상품+에	NOUN	NNG+JKB	NNG+JKB
18	가입할	가입할	가입하+ㄹ	VERB	VV_ETM	VV+ETM
19	수	수	수	NOUN	NNB	NNB
20	있게	있+게	있+게	ADJ	VA+EC	VA+EC
21	될	될	되+ㄹ	VERB	VV_ETM	VV+ETM
22	것	것	것	NOUN	NNB	NNB

# sent_id = 1014
# file = 00001
# text = 진정한 대화를 원한다면 기본 자세부터 갖춰서 상식과 원칙에 맞는 제대로 된 태도를 보여야 한다 .
1	진정한	진정한	진정하+ㄴ	ADJ	VA_ETM	VA+ETM
2	대화를	대화+를	대화+를	NOUN	NNG+JKO	NNG+JKO
3	원한다면	원한+다면	원하+ㄴ다면	VERB	VV+EC	VV+EC
4	기본	기본	기본	NOUN	NNG	NNG
5	자세부터	자세+부터	자세+부터	NOUN	NNG+JX	NNG+JX
6	갖춰서	갖춰+서	갖추+어서	VERB	VV+EC	VV+EC
7	상식과	상식+과	상식+과	NOUN	NNG+JC	NNG+JC
8	원칙에	원칙+에	원칙+에	NOUN	NNG+JKB	NNG+JKB
9	맞는	맞+는	맞+는	VERB	VV+ETM	VV+ETM
10	제대로	제대로	제대로	ADV	MAG	MAG
11	된	된	되+ㄴ	VERB	VV_ETM	VV+ETM
12	태도를	태도+를	태도+를	NOUN	NNG+JKO	NNG+JKO
13	보여야	보여+야	보이+어야	VERB	VV+EC	VV+EC
14	한다	한+다	하+ㄴ다	AUX	VX+EF	VX+EF
15	.	.	.	PUNC	SF	SF

# sent_id = 1015
# file = 00001
# text = 국정원이 해킹 프로그램을 설치한 국내 IP는 모두 개인용 컴퓨터를 대상으로 했다 .
1	국정원이	국정원+이	국정원+이	NOUN	NNG+JKS	NNG+JKS
2	해킹	해킹	해킹	NOUN	NNG	NNG
3	프로그램을	프로그램+을	프로그램+을	NOUN	NNG+JKO	NNG+JKO
4	설치한	설치한	설치하+ㄴ	VERB	VV_ETM	VV+ETM
5	국내	국내	국내	NOUN	NNG	NNG
6	IP는	IP+는	IP+는	NOUN	SL+JX	SL+JX
7	모두	모두	모두	ADV	MAG	MAG
8	개인용	개인용	개인용	NOUN	NNG	NNG
9	컴퓨터를	컴퓨터+를	컴퓨터+를	NOUN	NNG+JKO	NNG+JKO
10	대상으로	대상+으로	대상+으로	NOUN	NNG+JKB	NNG+JKB
11	했다	했+다	하+었+다	VERB	VV+EP_EF	VV+EP+EF
12	.	.	.	PUNC	SF	SF

# sent_id = 1016
# file = 00001
# text = 2012년은 스마트폰을 대상으로 했는데 국정원이 대선기간을 포함한 초기에는 개인 PC를 대상으로 하다가 휴대폰 , 스마트폰으로 옮긴 정황이 있다 .
1	2012년은	2012+년은	2012+년+은	NUM	SN+NNB_JX	SN+NNB+JX
2	스마트폰을	스마트폰+을	스마트폰+을	NOUN	NNG+JKO	NNG+JKO
3	대상으로	대상+으로	대상+으로	NOUN	NNG+JKB	NNG+JKB
4	했는데	했+는데	하+었+는데	VERB	VV+EP_EC	VV+EP+EC
5	국정원이	국정원+이	국정원+이	NOUN	NNG+JKS	NNG+JKS
6	대선기간을	대선기간+을	대선기간+을	NOUN	NNG+JKO	NNG+JKO
7	포함한	포함한	포함하+ㄴ	VERB	VV_ETM	VV+ETM
8	초기에는	초기+에는	초기+에+는	NOUN	NNG+JKB_JX	NNG+JKB+JX
9	개인	개인	개인	NOUN	NNG	NNG
10	PC를	PC+를	PC+를	NOUN	SL+JKO	SL+JKO
11	대상으로	대상+으로	대상+으로	NOUN	NNG+JKB	NNG+JKB
12	하다가	하+다가	하+다가	VERB	VV+EC	VV+EC
13	휴대폰	휴대폰	휴대폰	NOUN	NNG	NNG
14	,	,	,	PUNC	SP	SP
15	스마트폰으로	스마트폰+으로	스마트폰+으로	NOUN	NNG+JKB	NNG+JKB
16	옮긴	옮긴	옮기+ㄴ	VERB	VV_ETM	VV+ETM
17	정황이	정황+이	정황+이	NOUN	NNG+JKS	NNG+JKS
18	있다	있+다	있+다	ADJ	VA+EF	VA+EF
19	.	.	.	PUNC	SF	SF

# sent_id = 1017
# file = 00001
# text = 지금이라도 대통령은 감사원 감사와 재판 그리고 평가가 끝난 전전 정부의 국책사업을 또다시 들춰 정치적 시빗거리를 만들기보다는 , 확보한 물을 잘 관리해 당면한 가뭄을 극복하는 데 힘써야 할 것
1	지금이라도	지금+이라도	지금+이라도	NOUN	NNG+JX	NNG+JX
2	대통령은	대통령+은	대통령+은	NOUN	NNG+JX	NNG+JX
3	감사원	감사원	감사원	NOUN	NNG	NNG
4	감사와	감사+와	감사+와	NOUN	NNG+JC	NNG+JC
5	재판	재판	재판	NOUN	NNG	NNG
6	그리고	그리고	그리고	CCONJ	MAJ	MAJ
7	평가가	평가+가	평가+가	NOUN	NNG+JKS	NNG+JKS
8	끝난	끝난	끝나+ㄴ	VERB	VV_ETM	VV+ETM
9	전전	전전	전전	NOUN	NNG	NNG
10	정부의	정부+의	정부+의	NOUN	NNG+JKG	NNG+JKG
11	국책사업을	국책사업+을	국책사업+을	NOUN	NNG+JKO	NNG+JKO
12	또다시	또다시	또다시	ADV	MAG	MAG
13	들춰	들춰	들추+어	VERB	VV_EC	VV+EC
14	정치적	정치적	정치적	DET	MM	MM
15	시빗거리를	시빗거리+를	시빗거리+를	NOUN	NNG+JKO	NNG+JKO
16	만들기보다는	만들+기보다는	만들+기+보다+는	VERB	VV+ETN_JKB_JX	VV+ETN+JKB+JX
17	,	,	,	PUNC	SP	SP
18	확보한	확보한	확보하+ㄴ	VERB	VV_ETM	VV+ETM
19	물을	물+을	물+을	NOUN	NNG+JKO	NNG+JKO
20	잘	잘	잘	ADV	MAG	MAG
21	관리해	관리해	관리하+어	VERB	VV_EC	VV+EC
22	당면한	당면한	당면하+ㄴ	VERB	VV_ETM	VV+ETM
23	가뭄을	가뭄+을	가뭄+을	NOUN	NNG+JKO	NNG+JKO
24	극복하는	극복하+는	극복하+는	VERB	VV+ETM	VV+ETM
25	데	데	데	NOUN	NNB	NNB
26	힘써야	힘써+야	힘쓰+어야	VERB	VV+EC	VV+EC
27	할	할	하+ㄹ	AUX	VX_ETM	VX+ETM
28	것	것	것	NOUN	NNB	NNB

# sent_id = 1018
# file = 00001
# text = 감사원은 앞선 3차례 감사에 대해 참회록부터 써야지 또다시 새 정부의 코드에 맞춰 ' 정치보복의 칼잡이 ' 로서 춤을 출 생각은 아예 접기 바란다 .
1	감사원은	감사원+은	감사원+은	NOUN	NNG+JX	NNG+JX
2	앞선	앞선	앞서+ㄴ	VERB	VV_ETM	VV+ETM
3	3차례	3+차례	3+차례	NUM	SN+NNG	SN+NNG
4	감사에	감사+에	감사+에	NOUN	NNG+JKB	NNG+JKB
5	대해	대해	대하+어	VERB	VV_EC	VV+EC
6	참회록부터	참회록+부터	참회록+부터	NOUN	NNG+JX	NNG+JX
7	써야지	써+야지	쓰+어야지	VERB	VV+EC	VV+EC
8	또다시	또다시	또다시	ADV	MAG	MAG
9	새	새	새	DET	MM	MM
10	정부의	정부+의	정부+의	NOUN	NNG+JKG	NNG+JKG
11	코드에	코드+에	코드+에	NOUN	NNG+JKB	NNG+JKB
12	맞춰	맞춰	맞추+어	VERB	VV_EC	VV+EC
13	'	'	'	PUNC	SS	SS
14	정치보복의	정치보복+의	정치보복+의	NOUN	NNG+JKG	NNG+JKG
15	칼잡이	칼잡이	칼잡이	NOUN	NNG	NNG
16	'	'	'	PUNC	SS	SS
17	로서	로서	로서	ADP	JKB	JKB
18	춤을	춤+을	춤+을	NOUN	NNG+JKO	NNG+JKO
19	출	출	추+ㄹ	VERB	VV_ETM	VV+ETM
20	생각은	생각+은	생각+은	NOUN	NNG+JX	NNG+JX
21	아예	아예	아예	ADV	MAG	MAG
22	접기	접+기	접+기	VERB	VV+ETN	VV+ETN
23	바란다	바란+다	바라+ㄴ다	VERB	VV+EF	VV+EF
24	.	.	.	PUNC	SF	SF

# sent_id = 1019
# file = 00001
# text = 상임위는 2년 임기가 보장돼 있는데 중간에 변동사유가 생길 때는 본인의 동의를 얻어야 한다 .
1	상임위는	상임위+는	상임위+는	NOUN	NNG+JX	NNG+JX
2	2년	2+년	2+년	NUM	SN+NNB	SN+NNB
3	임기가	임기+가	임기+가	NOUN	NNG+JKS	NNG+JKS
4	보장돼	보장돼	보장되+어	VERB	VV_EC	VV+EC
5	있는데	있+는데	있+는데	AUX	VX+EC	VX+EC
6	중간에	중간+에	중간+에	NOUN	NNG+JKB	NNG+JKB
7	변동사유가	변동사유+가	변동사유+가	NOUN	NNG+JKS	NNG+JKS
8	생길	생길	생기+ㄹ	VERB	VV_ETM	VV+ETM
9	때는	때+는	때+는	NOUN	NNG+JX	NNG+JX
10	본인의	본인+의	본인+의	NOUN	NNG+JKG	NNG+JKG
11	동의를	동의+를	동의+를	NOUN	NNG+JKO	NNG+JKO
12	얻어야	얻+어야	얻+어야	VERB	VV+EC	VV+EC
13	한다	한+다	하+ㄴ다	AUX	VX+EF	VX+EF
14	.	.	.	PUNC	SF	SF

# sent_id = 1022
# file = 00001
# text = 설비투자 둔화는 단기적으로는 경기회복력 약화를 초래하고 장기적으로는 성장잠재력을 저하시킨다 .
1	설비투자	설비투자	설비투자	NOUN	NNG	NNG
2	둔화는	둔화+는	둔화+는	NOUN	NNG+JX	NNG+JX
3	단기적으로는	단기적+으로는	단기적+으로+는	NOUN	NNG+JKB_JX	NNG+JKB+JX
4	경기회복력	경기회복력	경기회복력	NOUN	NNG	NNG
5	약화를	약화+를	약화+를	NOUN	NNG+JKO	NNG+JKO
6	초래하고	초래하+고	초래하+고	VERB	VV+EC	VV+EC
7	장기적으로는	장기적+으로는	장기적+으로+는	NOUN	NNG+JKB_JX	NNG+JKB+JX
8	성장잠재력을	성장잠재력+을	성장잠재력+을	NOUN	NNG+JKO	NNG+JKO
9	저하시킨다	저하시킨+다	저하시키+ㄴ다	VERB	VV+EF	VV+EF
10	.	.	.	PUNC	SF	SF

# sent_id = 1025
# file = 00001
# text = 이런 형태로 부상자가 나왔기 때문에 , 규정이 허락하는 한 가능성은 부정하기 어렵다 .
1	이런	이런	이런	DET	MM	MM
2	형태로	형태+로	형태+로	NOUN	NNG+JKB	NNG+JKB
3	부상자가	부상자+가	부상자+가	NOUN	NNG+JKS	NNG+JKS
4	나왔기	나왔+기	나오+았+기	VERB	VV+EP_ETN	VV+EP+ETN
5	때문에	때문+에	때문+에	NOUN	NNB+JKB	NNB+JKB
6	,	,	,	PUNC	SP	SP
7	규정이	규정+이	규정+이	NOUN	NNG+JKS	NNG+JKS
8	허락하는	허락하+는	허락하+는	VERB	VV+ETM	VV+ETM
9	한	한	한	DET	MM	MM
10	가능성은	가능성+은	가능성+은	NOUN	NNG+JX	NNG+JX
11	부정하기	부정하+기	부정하+기	VERB	VV+ETN	VV+ETN
12	어렵다	어렵+다	어렵+다	ADJ	VA+EF	VA+EF
13	.	.	.	PUNC	SF	SF

# sent_id = 1026
# file = 00001
# text = 현재는 우리가 납득할 만한 선택지가 있는지 그 가능성을 보고 있는 단계
1	현재는	현재+는	현재+는	NOUN	NNG+JX	NNG+JX
2	우리가	우리+가	우리+가	PRON	NP+JKS	NP+JKS
3	납득할	납득할	납득하+ㄹ	VERB	VV_ETM	VV+ETM
4	만한	만한	만하+ㄴ	AUX	VX_ETM	VX+ETM
5	선택지가	선택지+가	선택지+가	NOUN	NNG+JKS	NNG+JKS
6	있는지	있+는지	있+는지	ADJ	VA+EC	VA+EC
7	그	그	그	DET	MM	MM
8	가능성을	가능성+을	가능성+을	NOUN	NNG+JKO	NNG+JKO
9	보고	보+고	보+고	VERB	VV+EC	VV+EC
10	있는	있+는	있+는	AUX	VX+ETM	VX+ETM
11	단계	단계	단계	NOUN	NNG	NNG

# sent_id = 1027
# file = 00001
# text = 지금까지의 정부 발표와 언론보도 내용이 사실과 일치하는 지 검토할 예정
1	지금까지의	지금+까지의	지금+까지+의	NOUN	NNG+JX_JKG	NNG+JX+JKG
2	정부	정부	정부	NOUN	NNG	NNG
3	발표와	발표+와	발표+와	NOUN	NNG+JC	NNG+JC
4	언론보도	언론보도	언론보도	NOUN	NNG	NNG
5	내용이	내용+이	내용+이	NOUN	NNG+JKS	NNG+JKS
6	사실과	사실+과	사실+과	NOUN	NNG+JKB	NNG+JKB
7	일치하는	일치하+는	일치하+는	VERB	VV+ETM	VV+ETM
8	지	지	지	NOUN	NNB	NNB
9	검토할	검토할	검토하+ㄹ	VERB	VV_ETM	VV+ETM
10	예정	예정	예정	NOUN	NNG	NNG

# sent_id = 1029
# file = 00001
# text = 대회에 참가한 경험이 없는 내가 대통령상을 받아 부끄럽지만 우리나라의 위상을 한단계 높이기 위한 방안을 많은 사람들에게 알린 것 같아 기쁘다 .
1	대회에	대회+에	대회+에	NOUN	NNG+JKB	NNG+JKB
2	참가한	참가한	참가하+ㄴ	VERB	VV_ETM	VV+ETM
3	경험이	경험+이	경험+이	NOUN	NNG+JKS	NNG+JKS
4	없는	없+는	없+는	ADJ	VA+ETM	VA+ETM
5	내가	내+가	내+가	PRON	NP+JKS	NP+JKS
6	대통령상을	대통령상+을	대통령상+을	NOUN	NNG+JKO	NNG+JKO
7	받아	받+아	받+아	VERB	VV+EC	VV+EC
8	부끄럽지만	부끄럽+지만	부끄럽+지만	ADJ	VA+EC	VA+EC
9	우리나라의	우리나라+의	우리나라+의	NOUN	NNG+JKG	NNG+JKG
10	위상을	위상+을	위상+을	NOUN	NNG+JKO	NNG+JKO
11	한단계	한+단계	한+단계	NOUN	MM+NNG	MM+NNG
12	높이기	높이+기	높이+기	VERB	VV+ETN	VV+ETN
13	위한	위한	위하+ㄴ	VERB	VV_ETM	VV+ETM
14	방안을	방안+을	방안+을	NOUN	NNG+JKO	NNG+JKO
15	많은	많+은	많+은	ADJ	VA+ETM	VA+ETM
16	사람들에게	사람들+에게	사람들+에게	NOUN	NNG+JKB	NNG+JKB
17	알린	알린	알리+ㄴ	VERB	VV_ETM	VV+ETM
18	것	것	것	NOUN	NNB	NNB
19	같아	같+아	같+아	ADJ	VA+EC	VA+EC
20	기쁘다	기쁘+다	기쁘+다	ADJ	VA+EF	VA+EF
21	.	.	.	PUNC	SF	SF

# sent_id = 1030
# file = 00001
# text = 안보리 제재와 양자 차원의 제재는 상호 강화 작용을 할 수 있는 분야가 많다 .
1	안보리	안보리	안보리	NOUN	NNG	NNG
2	제재와	제재+와	제재+와	NOUN	NNG+JC	NNG+JC
3	양자	양자	양자	NOUN	NNG	NNG
4	차원의	차원+의	차원+의	NOUN	NNG+JKG	NNG+JKG
5	제재는	제재+는	제재+는	NOUN	NNG+JX	NNG+JX
6	상호	상호	상호	NOUN	NNG	NNG
7	강화	강화	강화	NOUN	NNG	NNG
8	작용을	작용+을	작용+을	NOUN	NNG+JKO	NNG+JKO
9	할	할	하+ㄹ	VERB	VV_ETM	VV+ETM
10	수	수	수	NOUN	NNB	NNB
11	있는	있+는	있+는	ADJ	VA+ETM	VA+ETM
12	분야가	분야+가	분야+가	NOUN	NNG+JKS	NNG+JKS
13	많다	많+다	많+다	ADJ	VA+EF	VA+EF
14	.	.	.	PUNC	SF	SF

# sent_id = 1031
# file = 00001
# text = 안보리 제재 , 양자 제재 , 국제적 압박이 합해지면 강력하고 실효적인 제재 효과가 나올 것
1	안보리	안보리	안보리	NOUN	NNG	NNG
2	제재	제재	제재	NOUN	NNG	NNG
3	,	,	,	PUNC	SP	SP
4	양자	양자	양자	NOUN	NNG	NNG
5	제재	제재	제재	NOUN	NNG	NNG
6	,	,	,	PUNC	SP	SP
7	국제적	국제적	국제적	DET	MM	MM
8	압박이	압박+이	압박+이	NOUN	NNG+JKS	NNG+JKS
9	합해지면	합해+지면	합하+어+지+면	VERB	VV+EC_VX_EC	VV+EC+VX+EC
10	강력하고	강력하+고	강력하+고	ADJ	VA+EC	VA+EC
11	실효적인	실효적+인	실효적+이+ㄴ	VERB	NNG+VCP_ETM	NNG+VCP+ETM
12	제재	제재	제재	NOUN	NNG	NNG
13	효과가	효과+가	효과+가	NOUN	NNG+JKS	NNG+JKS
14	나올	나올	나오+ㄹ	VERB	VV_ETM	VV+ETM
15	것	것	것	NOUN	NNB	NNB

# sent_id = 1032
# file = 00001
# text = 저도 같은 생각인데 학력차별이 될 수 있다고 본다 .
1	저도	저+도	저+도	PRON	NP+JX	NP+JX
2	같은	같+은	같+은	ADJ	VA+ETM	VA+ETM
3	생각인데	생각+인데	생각+이+ㄴ데	VERB	NNG+VCP_EC	NNG+VCP+EC
4	학력차별이	학력차별+이	학력차별+이	NOUN	NNG+JKC	NNG+JKC
5	될	될	되+ㄹ	VERB	VV_ETM	VV+ETM
6	수	수	수	NOUN	NNB	NNB
7	있다고	있+다고	있+다고	ADJ	VA+EC	VA+EC
8	본다	본+다	보+ㄴ다	VERB	VV+EF	VV+EF
9	.	.	.	PUNC	SF	SF

# sent_id = 1033
# file = 00001
# text = 절대평가 전면 도입에 우려하는 여론이 높아지면서 여권 내부에서도 지지율 , 사회적 혼란을 고려해 단계적 도입이 낫겠다는 의견이 우세하다 .
1	절대평가	절대평가	절대평가	NOUN	NNG	NNG
2	전면	전면	전면	NOUN	NNG	NNG
3	도입에	도입+에	도입+에	NOUN	NNG+JKB	NNG+JKB
4	우려하는	우려하+는	우려하+는	VERB	VV+ETM	VV+ETM
5	여론이	여론+이	여론+이	NOUN	NNG+JKS	NNG+JKS
6	높아지면서	높아지+면서	높아지+면서	VERB	VV+EC	VV+EC
7	여권	여권	여권	NOUN	NNG	NNG
8	내부에서도	내부+에서도	내부+에서+도	NOUN	NNG+JKB_JX	NNG+JKB+JX
9	지지율	지지율	지지율	NOUN	NNG	NNG
10	,	,	,	PUNC	SP	SP
11	사회적	사회적	사회적	DET	MM	MM
12	혼란을	혼란+을	혼란+을	NOUN	NNG+JKO	NNG+JKO
13	고려해	고려해	고려하+어	VERB	VV_EC	VV+EC
14	단계적	단계적	단계적	NOUN	NNG	NNG
15	도입이	도입+이	도입+이	NOUN	NNG+JKS	NNG+JKS
16	낫겠다는	낫+겠다는	낫+겠+다는	ADJ	VA+EP_ETM	VA+EP+ETM
17	의견이	의견+이	의견+이	NOUN	NNG+JKS	NNG+JKS
18	우세하다	우세하+다	우세하+다	ADJ	VA+EF	VA+EF
19	.	.	.	PUNC	SF	SF

